name;lat;lng;capital
Romans-sur-Isere;45.0464;5.0517;
Epinal;48.1744;6.4512;minor
Plaisir;48.8183;1.9472;
Chatellerault;46.8178;0.5461;minor
Saint-Medard-en-Jalles;44.8964;-0.7164;
Dreux;48.7372;1.3664;minor
Vienne;45.5242;4.8781;minor
Maubeuge;50.2775;3.9734;
Decines-Charpieu;45.7694;4.9594;
Mont-de-Marsan;43.89;-0.5;minor
Draveil;48.6852;2.408;
Agde;43.3108;3.4758;
Saint-Etienne-du-Rouvray;49.3786;1.105;
Bourgoin-Jallieu;45.5861;5.2736;
Carpentras;44.0558;5.0489;minor
Tournefeuille;43.5853;1.3442;
Orange;44.1383;4.8097;
Bretigny-sur-Orge;48.6114;2.3059;
Bussy-Saint-Georges;48.8422;2.6983;
Illkirch-Graffenstaden;48.53;7.72;
Orvault;47.2717;-1.6225;
Rambouillet;48.6444;1.8308;minor
Sens;48.1975;3.2877;minor
Miramas;43.5822;5.0019;
Montbeliard;47.51;6.8;minor
Lunel;43.6769;4.1353;
Gonesse;48.9875;2.4494;
Gradignan;44.7725;-0.6156;
Bergerac;44.85;0.48;minor
Henin-Beaumont;50.4217;2.9508;
La Garde;43.1256;6.0108;
Blagnac;43.6364;1.3906;
Saumur;47.26;-0.0769;minor
Cavaillon;43.8375;5.0381;
Aurillac;44.9261;2.4406;minor
La Teste-de-Buch;44.62;-1.1457;
Vertou;47.1689;-1.4697;
Etampes;48.4343;2.1615;minor
Vierzon;47.2225;2.0694;minor
Saintes;45.7464;-0.6333;minor
Libourne;44.92;-0.24;minor
La Valette-du-Var;43.1383;5.9831;
Laon;49.5639;3.6244;minor
Muret;43.4611;1.3267;minor
Rochefort;45.9421;-0.9588;minor
Roissy-en-Brie;48.7906;2.6519;
Vernon;49.09;1.49;
Dole;47.0931;5.4906;minor
Lanester;47.7647;-3.3422;
Saint-Louis;47.59;7.57;
Saint-Dizier;48.6383;4.9497;minor
Abbeville;50.1058;1.8358;minor
Grande-Synthe;51.0139;2.3028;
Frontignan;43.4483;3.7561;
Epernay;49.0403;3.96;minor
Olivet;47.8639;1.9006;
Combs-la-Ville;48.67;2.56;
Gif-sur-Yvette;48.7018;2.1339;
Oyonnax;46.2561;5.6556;
Forbach;49.19;6.9;minor
Manosque;43.8342;5.7839;
Saint-Jean-de-Braye;47.9128;1.9719;
Coueron;47.2156;-1.7228;
Seynod;45.8889;6.0961;
Mandelieu-la-Napoule;43.5464;6.9381;
Le Creusot;46.8014;4.4411;
Annecy-le-Vieux;45.9192;6.1419;
Saint-Genis-Laval;45.696;4.793;
Fougeres;48.3525;-1.1986;minor
Auch;43.6465;0.5855;minor
Halluin;50.7836;3.1256;
Chaumont;48.1117;5.1389;minor
Gardanne;43.4553;5.476;
Gujan-Mestras;44.6364;-1.0667;
Les Pennes-Mirabeau;43.4106;5.3103;
Hazebrouck;50.725;2.5392;
Villeneuve-sur-Lot;44.4081;0.705;minor
Millau;44.0986;3.0783;minor
Dax;43.71;-1.05;minor
Ozoir-la-Ferriere;48.778;2.68;
Allauch;43.3369;5.4828;
Lisieux;49.15;0.23;minor
Denain;50.3286;3.395;
Challans;46.8467;-1.8781;
Sarreguemines;49.11;7.07;minor
Givors;45.5906;4.7689;
Cournon-d'Auvergne;45.7422;3.1972;
Beaune;47.025;4.8397;minor
Mitry-Mory;48.9839;2.6164;
Voiron;45.3642;5.5906;
Pertuis;43.695;5.5036;
Bourg-les-Valence;44.9475;4.8953;
Carquefou;47.2969;-1.4928;
Cugnaux;43.5378;1.3436;
Bruges;44.8828;-0.6125;
Mougins;43.6;6.9947;
